Index;Absolute_Orbit;Time_From_ANX;yyyy-mm-dd;hh:mm:ss.sss;Lon;Lat;Duration;Zone
0;9135;1596.721436;2026-01-06;01:16:42.330;-143.685136;74.727846;109.0;Inuvik
1;9135;1597.721436;2026-01-06;01:16:43.330;-143.802003;74.670472;109.0;Inuvik
2;9135;1598.721436;2026-01-06;01:16:44.330;-143.918163;74.613056;109.0;Inuvik
3;9135;1599.721436;2026-01-06;01:16:45.330;-144.033479;74.555581;109.0;Inuvik
4;9135;1600.721436;2026-01-06;01:16:46.330;-144.147961;74.498046;109.0;Inuvik
5;9135;1601.721436;2026-01-06;01:16:47.330;-144.261617;74.440452;109.0;Inuvik
6;9135;1602.721436;2026-01-06;01:16:48.330;-144.374506;74.382808;109.0;Inuvik
7;9135;1603.721436;2026-01-06;01:16:49.330;-144.486675;74.325117;109.0;Inuvik
8;9135;1604.721436;2026-01-06;01:16:50.330;-144.598042;74.267370;109.0;Inuvik
9;9135;1605.721436;2026-01-06;01:16:51.330;-144.708615;74.209566;109.0;Inuvik
10;9135;1606.721436;2026-01-06;01:16:52.330;-144.818400;74.151707;109.0;Inuvik
11;9135;1607.721436;2026-01-06;01:16:53.330;-144.927510;74.093806;109.0;Inuvik
12;9135;1608.721436;2026-01-06;01:16:54.330;-145.035886;74.035855;109.0;Inuvik
13;9135;1609.721436;2026-01-06;01:16:55.330;-145.143497;73.977850;109.0;Inuvik
14;9135;1610.721436;2026-01-06;01:16:56.330;-145.250352;73.919792;109.0;Inuvik
15;9135;1611.721436;2026-01-06;01:16:57.330;-145.356473;73.861683;109.0;Inuvik
16;9135;1612.721436;2026-01-06;01:16:58.330;-145.461975;73.803537;109.0;Inuvik
17;9135;1613.721436;2026-01-06;01:16:59.330;-145.566743;73.745339;109.0;Inuvik
18;9135;1614.721436;2026-01-06;01:17:00.330;-145.670782;73.687090;109.0;Inuvik
19;9135;1615.721436;2026-01-06;01:17:01.330;-145.774101;73.628791;109.0;Inuvik
20;9135;1616.721436;2026-01-06;01:17:02.330;-145.876771;73.570449;109.0;Inuvik
21;9135;1617.721436;2026-01-06;01:17:03.330;-145.978806;73.512067;109.0;Inuvik
22;9135;1618.721436;2026-01-06;01:17:04.330;-146.080140;73.453635;109.0;Inuvik
23;9135;1619.721436;2026-01-06;01:17:05.330;-146.180781;73.395155;109.0;Inuvik
24;9135;1620.721436;2026-01-06;01:17:06.330;-146.280735;73.336626;109.0;Inuvik
25;9135;1621.721436;2026-01-06;01:17:07.330;-146.380121;73.278064;109.0;Inuvik
26;9135;1622.721436;2026-01-06;01:17:08.330;-146.478855;73.219457;109.0;Inuvik
27;9135;1623.721436;2026-01-06;01:17:09.330;-146.576921;73.160804;109.0;Inuvik
28;9135;1624.721436;2026-01-06;01:17:10.330;-146.674325;73.102104;109.0;Inuvik
29;9135;1625.721436;2026-01-06;01:17:11.330;-146.771102;73.043362;109.0;Inuvik
30;9135;1626.721436;2026-01-06;01:17:12.330;-146.867335;72.984587;109.0;Inuvik
31;9135;1627.721436;2026-01-06;01:17:13.330;-146.962925;72.925767;109.0;Inuvik
32;9135;1628.721436;2026-01-06;01:17:14.330;-147.057878;72.866903;109.0;Inuvik
33;9135;1629.721436;2026-01-06;01:17:15.330;-147.152199;72.807994;109.0;Inuvik
34;9135;1630.721436;2026-01-06;01:17:16.330;-147.245971;72.749052;109.0;Inuvik
35;9135;1631.721436;2026-01-06;01:17:17.330;-147.339179;72.690072;109.0;Inuvik
36;9135;1632.721436;2026-01-06;01:17:18.330;-147.431773;72.631050;109.0;Inuvik
37;9135;1633.721436;2026-01-06;01:17:19.330;-147.523758;72.571985;109.0;Inuvik
38;9135;1634.721436;2026-01-06;01:17:20.330;-147.615141;72.512879;109.0;Inuvik
39;9135;1635.721436;2026-01-06;01:17:21.330;-147.706050;72.453745;109.0;Inuvik
40;9135;1636.721436;2026-01-06;01:17:22.330;-147.796373;72.394571;109.0;Inuvik
41;9135;1637.721436;2026-01-06;01:17:23.330;-147.886111;72.335356;109.0;Inuvik
42;9135;1638.721436;2026-01-06;01:17:24.330;-147.975267;72.276101;109.0;Inuvik
43;9135;1639.721436;2026-01-06;01:17:25.330;-148.063889;72.216810;109.0;Inuvik
44;9135;1640.721436;2026-01-06;01:17:26.330;-148.152027;72.157490;109.0;Inuvik
45;9135;1641.721436;2026-01-06;01:17:27.330;-148.239600;72.098131;109.0;Inuvik
46;9135;1642.721436;2026-01-06;01:17:28.330;-148.326613;72.038733;109.0;Inuvik
47;9135;1643.721436;2026-01-06;01:17:29.330;-148.413070;71.979297;109.0;Inuvik
48;9135;1644.721436;2026-01-06;01:17:30.330;-148.499064;71.919832;109.0;Inuvik
49;9135;1645.721436;2026-01-06;01:17:31.330;-148.584552;71.860334;109.0;Inuvik
50;9135;1646.721436;2026-01-06;01:17:32.330;-148.669500;71.800799;109.0;Inuvik
51;9135;1647.721436;2026-01-06;01:17:33.330;-148.753912;71.741226;109.0;Inuvik
52;9135;1648.721436;2026-01-06;01:17:34.330;-148.837801;71.681617;109.0;Inuvik
53;9135;1649.721436;2026-01-06;01:17:35.330;-148.921280;71.621986;109.0;Inuvik
54;9135;1650.721436;2026-01-06;01:17:36.330;-149.004239;71.562318;109.0;Inuvik
55;9135;1651.721436;2026-01-06;01:17:37.330;-149.086680;71.502615;109.0;Inuvik
56;9135;1652.721436;2026-01-06;01:17:38.330;-149.168609;71.442876;109.0;Inuvik
57;9135;1653.721436;2026-01-06;01:17:39.330;-149.250082;71.383108;109.0;Inuvik
58;9135;1654.721436;2026-01-06;01:17:40.330;-149.331123;71.323313;109.0;Inuvik
59;9135;1655.721436;2026-01-06;01:17:41.330;-149.411665;71.263484;109.0;Inuvik
60;9135;1656.721436;2026-01-06;01:17:42.330;-149.491712;71.203620;109.0;Inuvik
61;9135;1657.721436;2026-01-06;01:17:43.330;-149.571268;71.143723;109.0;Inuvik
62;9135;1658.721436;2026-01-06;01:17:44.330;-149.650435;71.083803;109.0;Inuvik
63;9135;1659.721436;2026-01-06;01:17:45.330;-149.729145;71.023852;109.0;Inuvik
64;9135;1660.721436;2026-01-06;01:17:46.330;-149.807377;70.963869;109.0;Inuvik
65;9135;1661.721436;2026-01-06;01:17:47.330;-149.885136;70.903852;109.0;Inuvik
66;9135;1662.721436;2026-01-06;01:17:48.330;-149.962444;70.843806;109.0;Inuvik
67;9135;1663.721436;2026-01-06;01:17:49.330;-150.039387;70.783738;109.0;Inuvik
68;9135;1664.721436;2026-01-06;01:17:50.330;-150.115869;70.723639;109.0;Inuvik
69;9135;1665.721436;2026-01-06;01:17:51.330;-150.191892;70.663508;109.0;Inuvik
